file, q
r75k3q0.7c5/1.1.cnf, 0
r75k3q0.7c5/2.4.cnf, 0.5
r75k3q0.7c5/7.3.cnf, 0.857143
r75k3q0.7c5/10.4.cnf, 0.737778
r75k3q0.7c5/14.5.cnf, 0.760771
r75k3q0.7c5/15.1.cnf, 0.72
r75k3q0.7c5/19.3.cnf, 0.769468
r75k3q0.7c5/19.2.cnf, 0.738073
r75k3q0.7c5/20.2.cnf, 0.801111
r75k3q0.7c5/24.3.cnf, 0.828318
r75k3q0.7c5/28.4.cnf, 0.690476
r75k3q0.7c5/29.1.cnf, 0.754261
r75k3q0.7c5/28.5.cnf, 0.775794
r75k3q0.7c5/24.4.cnf, 0.682485
r75k3q0.7c5/33.5.cnf, 0.672278
r75k3q0.7c5/43.3.cnf, 0.728081
r75k3q0.7c5/38.3.cnf, 0.701447
r75k3q0.7c5/34.1.cnf, 0.770473
r75k3q0.7c5/38.2.cnf, 0.708833
r75k3q0.7c5/51.3.cnf, 0.685164
r75k3q0.7c5/43.4.cnf, 0.696473
r75k3q0.7c5/48.1.cnf, 0.658854
r75k3q0.7c5/47.5.cnf, 0.618279
r75k3q0.7c5/60.5.cnf, 0.691481
r75k3q0.7c5/65.2.cnf, 0.726075
r75k3q0.7c5/74.4.cnf, 0.769584
r75k3q0.7c5/55.4.cnf, 0.700716
r75k3q0.7c5/51.2.cnf, 0.680038
r75k3q0.7c5/61.1.cnf, 0.696497
r75k3q0.7c5/15.2.cnf, 0.808889
r75k3q0.7c5/59.5.cnf, 0.677711
r75k3q0.7c5/70.3.cnf, 0.688073
r75k3q0.7c5/69.4.cnf, 0.68305
r75k3q0.7c5/102.2.cnf, 0.747512
r75k3q0.7c5/79.1.cnf, 0.692125
r75k3q0.7c5/69.3.cnf, 0.628836
r75k3q0.7c5/88.4.cnf, 0.71766
r75k3q0.7c5/34.2.cnf, 0.758747
r75k3q0.7c5/93.4.cnf, 0.690382
r75k3q0.7c5/80.1.cnf, 0.652157
r75k3q0.7c5/84.2.cnf, 0.688744
r75k3q0.7c5/74.5.cnf, 0.736724
r75k3q0.7c5/102.4.cnf, 0.722607
r75k3q0.7c5/79.2.cnf, 0.696238
r75k3q0.7c5/84.3.cnf, 0.696649
r75k3q0.7c5/94.1.cnf, 0.696142
r75k3q0.7c5/98.2.cnf, 0.698421
r75k3q0.7c5/112.2.cnf, 0.688599
r75k3q0.7c5/93.5.cnf, 0.714135
r75k3q0.7c5/108.3.cnf, 0.705787
r75k3q0.7c5/103.3.cnf, 0.708832
r75k3q0.7c5/110.4.cnf, 0.688338
r75k3q0.7c5/117.2.cnf, 0.692267
r75k3q0.7c5/119.2.cnf, 0.703066
r75k3q0.7c5/55.5.cnf, 0.737921
r75k3q0.7c5/100.3.cnf, 0.665933
r75k3q0.7c5/136.2.cnf, 0.703107
r75k3q0.7c5/127.1.cnf, 0.707518
r75k3q0.7c5/150.1.cnf, 0.733189
r75k3q0.7c5/149.5.cnf, 0.73883
r75k3q0.7c5/106.3.cnf, 0.674182
r75k3q0.7c5/119.1.cnf, 0.690166
r75k3q0.7c5/143.4.cnf, 0.731207
r75k3q0.7c5/126.5.cnf, 0.657512
r75k3q0.7c5/126.1.cnf, 0.725708
r75k3q0.7c5/10.5.cnf, 0.86
r75k3q0.7c5/107.1.cnf, 0.659776
r75k3q0.7c5/163.3.cnf, 0.705103
r75k3q0.7c5/144.1.cnf, 0.660847
r75k3q0.7c5/65.3.cnf, 0.657936
r75k3q0.7c5/164.1.cnf, 0.725197
r75k3q0.7c5/171.1.cnf, 0.686982
r75k3q0.7c5/138.5.cnf, 0.705011
r75k3q0.7c5/175.3.cnf, 0.729197
r75k3q0.7c5/168.2.cnf, 0.678154
r75k3q0.7c5/185.3.cnf, 0.706006
r75k3q0.7c5/177.2.cnf, 0.715149
r75k3q0.7c5/181.3.cnf, 0.70142
r75k3q0.7c5/11.1.cnf, 0.859504
r75k3q0.7c5/140.5.cnf, 0.642381
r75k3q0.7c5/184.3.cnf, 0.713442
r75k3q0.7c5/180.3.cnf, 0.694355
r75k3q0.7c5/175.5.cnf, 0.69223
r75k3q0.7c5/159.2.cnf, 0.682814
r75k3q0.7c5/200.1.cnf, 0.730473
r75k3q0.7c5/20.3.cnf, 0.78
r75k3q0.7c5/6.4.cnf, 0.777778
r75k3q0.7c5/173.4.cnf, 0.662304
r75k3q0.7c5/200.3.cnf, 0.739167
r75k3q0.7c5/190.1.cnf, 0.690742
r75k3q0.7c5/135.5.cnf, 0.646024
r75k3q0.7c5/1.5.cnf, 0
r75k3q0.7c5/75.1.cnf, 0.696869
r75k3q0.7c5/176.5.cnf, 0.699631
r75k3q0.7c5/209.4.cnf, 0.704522
r75k3q0.7c5/206.2.cnf, 0.702981
r75k3q0.7c5/226.2.cnf, 0.739106
r75k3q0.7c5/199.5.cnf, 0.701121
r75k3q0.7c5/184.2.cnf, 0.677858
r75k3q0.7c5/212.3.cnf, 0.712627
r75k3q0.7c5/201.2.cnf, 0.683066
r75k3q0.7c5/212.4.cnf, 0.694075
r75k3q0.7c5/9.4.cnf, 0.663923
r75k3q0.7c5/56.1.cnf, 0.719955
r75k3q0.7c5/187.3.cnf, 0.632327
r75k3q0.7c5/204.4.cnf, 0.660147
r75k3q0.7c5/237.1.cnf, 0.690634
r75k3q0.7c5/14.3.cnf, 0.867347
r75k3q0.7c5/245.3.cnf, 0.697509
r75k3q0.7c5/30.1.cnf, 0.754568
r75k3q0.7c5/142.5.cnf, 0.714618
r75k3q0.7c5/250.5.cnf, 0.726565
r75k3q0.7c5/231.3.cnf, 0.700655
r75k3q0.7c5/19.4.cnf, 0.746691
r75k3q0.7c5/232.5.cnf, 0.712476
r75k3q0.7c5/229.4.cnf, 0.702105
r75k3q0.7c5/234.4.cnf, 0.71675
r75k3q0.7c5/259.2.cnf, 0.702009
r75k3q0.7c5/276.1.cnf, 0.724518
r75k3q0.7c5/252.2.cnf, 0.706931
r75k3q0.7c5/267.2.cnf, 0.733783
r75k3q0.7c5/259.5.cnf, 0.683461
r75k3q0.7c5/232.3.cnf, 0.668212
r75k3q0.7c5/218.1.cnf, 0.661434
r75k3q0.7c5/256.1.cnf, 0.692779
r75k3q0.7c5/259.3.cnf, 0.684855
r75k3q0.7c5/116.4.cnf, 0.711554
r75k3q0.7c5/48.2.cnf, 0.676215
r75k3q0.7c5/265.5.cnf, 0.696877
r75k3q0.7c5/38.4.cnf, 0.673592
r75k3q0.7c5/29.2.cnf, 0.738275
r75k3q0.7c5/224.5.cnf, 0.699271
r75k3q0.7c5/24.1.cnf, 0.76466
r75k3q0.7c5/242.3.cnf, 0.67679
r75k3q0.7c5/209.5.cnf, 0.73056
r75k3q0.7c5/273.2.cnf, 0.710974
r75k3q0.7c5/280.4.cnf, 0.709336
r75k3q0.7c5/262.1.cnf, 0.685791
r75k3q0.7c5/282.2.cnf, 0.692247
r75k3q0.7c5/266.4.cnf, 0.686122
r75k3q0.7c5/51.4.cnf, 0.691144
r75k3q0.7c5/261.4.cnf, 0.693672
r75k3q0.7c5/10.2.cnf, 0.74
r75k3q0.7c5/290.5.cnf, 0.695437
r75k3q0.7c5/285.2.cnf, 0.692391
r75k3q0.7c5/270.4.cnf, 0.687433
r75k3q0.7c5/298.4.cnf, 0.71072
r75k3q0.7c5/296.5.cnf, 0.690512
r75k3q0.7c5/287.2.cnf, 0.692213
r75k3q0.7c5/299.4.cnf, 0.67691
r75k3q0.7c5/61.2.cnf, 0.668642
r75k3q0.7c5/300.2.cnf, 0.699565
r75k3q0.7c5/70.4.cnf, 0.714376
r75k3q0.7c5/292.1.cnf, 0.670081
r75k3q0.7c5/270.2.cnf, 0.669166
r75k3q0.7c5/247.3.cnf, 0.680254
r75k3q0.7c5/148.5.cnf, 0.692212
r75k3q0.7c5/110.1.cnf, 0.662736
