file, #m, log2(#m)
r75k3q0.4c8/28.4.cnf, 773636226627403776000, 69.39021725041104
r75k3q0.4c8/51.2.cnf, 28756963034984153088, 64.64054512656075
r75k3q0.4c8/38.2.cnf, 207468332529116774400, 67.49145304148506
r75k3q0.4c8/136.2.cnf, 61998172387456, 45.8172909211898
r75k3q0.4c8/59.5.cnf, 13706445180951894016, 63.57148825400583
r75k3q0.4c8/79.1.cnf, 731507367233490176, 59.34365000734325
r75k3q0.4c8/69.3.cnf, 3877658931866542080, 61.749891621539945
r75k3q0.4c8/108.3.cnf, 25540119852789264, 54.50361481342712
r75k3q0.4c8/299.4.cnf, 272, 8.087462841250339
r75k3q0.4c8/280.4.cnf, 704, 9.459431618637296
r75k3q0.4c8/315.5.cnf, 620, 9.276124405274238
r75k3q0.4c8/19.2.cnf, 2858770597488478912512, 71.27588484795015
r75k3q0.4c8/277.5.cnf, 897068, 19.774857823621982
r75k3q0.4c8/181.3.cnf, 387449863047, 38.495218677984646
r75k3q0.4c8/107.1.cnf, 19019739789304732, 54.0783470268964
r75k3q0.4c8/259.5.cnf, 523388401, 28.963306711751564
r75k3q0.4c8/327.2.cnf, 484, 8.918863237274595
r75k3q0.4c8/185.3.cnf, 955307075319, 39.79717359348571
r75k3q0.4c8/300.2.cnf, 1822, 10.831307243802051
r75k3q0.4c8/297.4.cnf, 64, 6.0
r75k3q0.4c8/119.1.cnf, 5767162401721660, 52.3567830721767
r75k3q0.4c8/266.4.cnf, 12328243, 23.555463868185296
r75k3q0.4c8/307.5.cnf, 215721, 17.718807101195516
r75k3q0.4c8/247.3.cnf, 712181, 19.441884421551126
r75k3q0.4c8/93.4.cnf, 125681620035636096, 56.80255129528371
r75k3q0.4c8/33.5.cnf, 560732652471796629504, 68.92587498072702
r75k3q0.4c8/43.3.cnf, 157099341448929607680, 67.09023903070046
r75k3q0.4c8/163.3.cnf, 369840423440, 38.42811196322781
r75k3q0.4c8/322.1.cnf, 3182, 11.635718120331047
r75k3q0.4c8/231.3.cnf, 5014409069, 32.22343254815267
r75k3q0.4c8/168.2.cnf, 12009247491008, 43.44921098699359
r75k3q0.4c8/74.4.cnf, 1650638637800257536, 60.517730024156194
r75k3q0.4c8/117.2.cnf, 9049583701447352, 53.00677285023872
r75k3q0.4c8/242.3.cnf, 140401852, 27.064986725037624
r75k3q0.4c8/84.2.cnf, 299873592247302144, 58.05713209290657
r75k3q0.4c8/218.1.cnf, 3448898367, 31.683488469712987
r75k3q0.4c8/259.2.cnf, 3314486, 21.660353728426355
r75k3q0.4c8/173.4.cnf, 3052467401041, 41.47311302661856
r75k3q0.4c8/150.1.cnf, 34677942579681, 44.97908354045356
r75k3q0.4c8/14.5.cnf, 5560477366324039778304, 72.23569873609875
r75k3q0.4c8/292.4.cnf, 93184, 16.507794640198696
r75k3q0.4c8/135.5.cnf, 742381453853393, 49.399153997983454
r75k3q0.4c8/212.4.cnf, 14028067322, 33.7075972082213
