file, #m, log2(#m)
r75k3q0.8c5/194.4.cnf, 826188993630, 39.58768088470885
r75k3q0.8c5/67.1.cnf, 3279807739190591488, 61.508316955179936
r75k3q0.8c5/34.2.cnf, 329336602118376652800, 68.15812475817785
r75k3q0.8c5/87.1.cnf, 233176738159411200, 57.69420148474547
r75k3q0.8c5/68.5.cnf, 5432825240462333952, 62.236408348065986
r75k3q0.8c5/70.4.cnf, 2955036730855587840, 61.35788177106361
r75k3q0.8c5/60.3.cnf, 16302161443496656896, 63.82169706161577
r75k3q0.8c5/158.2.cnf, 67504289846400, 45.94004442078766
r75k3q0.8c5/12.2.cnf, 6840085128448818806784, 72.53450427295436
r75k3q0.8c5/31.4.cnf, 622221200296532508672, 69.07598944890628
r75k3q0.8c5/107.2.cnf, 18837762477564800, 54.064477132074934
r75k3q0.8c5/107.5.cnf, 20648763463204800, 54.19690490764317
r75k3q0.8c5/263.2.cnf, 3488400, 21.734134046632118
r75k3q0.8c5/153.3.cnf, 34377171395700, 44.96651607616206
r75k3q0.8c5/6.2.cnf, 17301028328506497433600, 73.87327587800515
r75k3q0.8c5/89.4.cnf, 270973631609740800, 57.91093008312663
r75k3q0.8c5/8.3.cnf, 12456740396524678152192, 73.39934468967273
r75k3q0.8c5/137.5.cnf, 142681353534720, 47.01979013541113
r75k3q0.8c5/239.1.cnf, 93082752, 26.47201052899499
r75k3q0.8c5/217.2.cnf, 947555840, 29.81963572372016
r75k3q0.8c5/106.3.cnf, 64518044921406720, 55.84055223962802
r75k3q0.8c5/102.5.cnf, 54588490510591440, 55.599446322206596
r75k3q0.8c5/79.5.cnf, 463675018147361280, 58.68589161246137
r75k3q0.8c5/212.5.cnf, 7622525300, 32.82762188769278
r75k3q0.8c5/233.2.cnf, 95730740, 26.51247892564648
r75k3q0.8c5/189.1.cnf, 289941968232, 38.07697321806387
r75k3q0.8c5/57.1.cnf, 17328748264018673664, 63.909801248557365
r75k3q0.8c5/102.4.cnf, 50029479840407760, 55.473627970816935
r75k3q0.8c5/229.2.cnf, 5730816, 22.450309145537936
r75k3q0.8c5/34.4.cnf, 282713742138924859392, 67.93790390908693
r75k3q0.8c5/279.2.cnf, 11151504, 23.41073496332697
r75k3q0.8c5/7.3.cnf, 14835631791694321549312, 73.65148445440323
r75k3q0.8c5/49.4.cnf, 47163299092525744128, 65.3542984418297
r75k3q0.8c5/284.4.cnf, 43860, 15.420618191560957
r75k3q0.8c5/42.5.cnf, 135571674980476256256, 66.87761768511676
