file, q
r75k3q0.5c5/1.1.cnf, 0
r75k3q0.5c5/2.4.cnf, 0.5
r75k3q0.5c5/7.3.cnf, 0.612245
r75k3q0.5c5/10.4.cnf, 0.84
r75k3q0.5c5/15.1.cnf, 0.679506
r75k3q0.5c5/14.5.cnf, 0.750567
r75k3q0.5c5/20.2.cnf, 0.675
r75k3q0.5c5/19.2.cnf, 0.689751
r75k3q0.5c5/19.3.cnf, 0.719606
r75k3q0.5c5/24.3.cnf, 0.685571
r75k3q0.5c5/28.4.cnf, 0.70805
r75k3q0.5c5/28.5.cnf, 0.796202
r75k3q0.5c5/38.2.cnf, 0.64743
r75k3q0.5c5/29.1.cnf, 0.701282
r75k3q0.5c5/34.1.cnf, 0.605921
r75k3q0.5c5/33.5.cnf, 0.666871
r75k3q0.5c5/38.3.cnf, 0.654817
r75k3q0.5c5/43.3.cnf, 0.647918
r75k3q0.5c5/47.5.cnf, 0.546904
r75k3q0.5c5/48.1.cnf, 0.57581
r75k3q0.5c5/43.4.cnf, 0.619133
r75k3q0.5c5/51.2.cnf, 0.556324
r75k3q0.5c5/51.3.cnf, 0.577855
r75k3q0.5c5/24.4.cnf, 0.687114
r75k3q0.5c5/59.5.cnf, 0.638578
r75k3q0.5c5/55.4.cnf, 0.550781
r75k3q0.5c5/61.1.cnf, 0.607573
r75k3q0.5c5/65.2.cnf, 0.643419
r75k3q0.5c5/60.5.cnf, 0.500123
r75k3q0.5c5/74.4.cnf, 0.585545
r75k3q0.5c5/69.3.cnf, 0.553969
r75k3q0.5c5/79.2.cnf, 0.614164
r75k3q0.5c5/15.2.cnf, 0.716049
r75k3q0.5c5/74.5.cnf, 0.603532
r75k3q0.5c5/80.1.cnf, 0.57
r75k3q0.5c5/69.4.cnf, 0.521272
r75k3q0.5c5/79.1.cnf, 0.501077
r75k3q0.5c5/84.2.cnf, 0.560563
r75k3q0.5c5/70.3.cnf, 0.529841
r75k3q0.5c5/107.1.cnf, 0.543593
r75k3q0.5c5/108.3.cnf, 0.571997
r75k3q0.5c5/100.3.cnf, 0.515741
r75k3q0.5c5/34.2.cnf, 0.658593
r75k3q0.5c5/93.4.cnf, 0.502203
r75k3q0.5c5/88.4.cnf, 0.481548
r75k3q0.5c5/102.2.cnf, 0.52781
r75k3q0.5c5/106.3.cnf, 0.494383
r75k3q0.5c5/117.2.cnf, 0.537504
r75k3q0.5c5/102.4.cnf, 0.520419
r75k3q0.5c5/103.3.cnf, 0.499304
r75k3q0.5c5/98.2.cnf, 0.49757
r75k3q0.5c5/136.2.cnf, 0.56064
r75k3q0.5c5/93.5.cnf, 0.492221
r75k3q0.5c5/110.4.cnf, 0.531001
r75k3q0.5c5/135.5.cnf, 0.53693
r75k3q0.5c5/126.5.cnf, 0.503961
r75k3q0.5c5/84.3.cnf, 0.49241
r75k3q0.5c5/149.5.cnf, 0.556922
r75k3q0.5c5/126.1.cnf, 0.531606
r75k3q0.5c5/127.1.cnf, 0.4879
r75k3q0.5c5/119.2.cnf, 0.431318
r75k3q0.5c5/119.1.cnf, 0.498866
r75k3q0.5c5/112.2.cnf, 0.425861
r75k3q0.5c5/10.5.cnf, 0.711111
r75k3q0.5c5/138.5.cnf, 0.503501
r75k3q0.5c5/140.5.cnf, 0.496417
r75k3q0.5c5/180.3.cnf, 0.55441
r75k3q0.5c5/143.4.cnf, 0.537608
r75k3q0.5c5/144.1.cnf, 0.486025
r75k3q0.5c5/94.1.cnf, 0.511443
r75k3q0.5c5/55.5.cnf, 0.546997
r75k3q0.5c5/159.2.cnf, 0.487947
r75k3q0.5c5/175.5.cnf, 0.52911
r75k3q0.5c5/150.1.cnf, 0.462795
r75k3q0.5c5/176.5.cnf, 0.506344
r75k3q0.5c5/168.2.cnf, 0.485347
r75k3q0.5c5/177.2.cnf, 0.505127
r75k3q0.5c5/20.3.cnf, 0.599444
r75k3q0.5c5/175.3.cnf, 0.505784
r75k3q0.5c5/185.3.cnf, 0.504142
r75k3q0.5c5/184.3.cnf, 0.521398
r75k3q0.5c5/171.1.cnf, 0.476291
r75k3q0.5c5/164.1.cnf, 0.455896
r75k3q0.5c5/163.3.cnf, 0.475309
r75k3q0.5c5/212.3.cnf, 0.54982
r75k3q0.5c5/187.3.cnf, 0.510297
r75k3q0.5c5/199.5.cnf, 0.522032
r75k3q0.5c5/184.2.cnf, 0.553694
r75k3q0.5c5/11.1.cnf, 0.617998
r75k3q0.5c5/204.4.cnf, 0.545702
r75k3q0.5c5/181.3.cnf, 0.486642
r75k3q0.5c5/173.4.cnf, 0.46421
r75k3q0.5c5/206.2.cnf, 0.531556
r75k3q0.5c5/200.3.cnf, 0.496559
r75k3q0.5c5/200.1.cnf, 0.507139
r75k3q0.5c5/65.3.cnf, 0.48
r75k3q0.5c5/226.2.cnf, 0.528678
r75k3q0.5c5/209.4.cnf, 0.43591
r75k3q0.5c5/190.1.cnf, 0.418239
r75k3q0.5c5/212.4.cnf, 0.494635
r75k3q0.5c5/75.1.cnf, 0.584691
r75k3q0.5c5/56.1.cnf, 0.555414
r75k3q0.5c5/218.1.cnf, 0.469598
r75k3q0.5c5/231.3.cnf, 0.503886
r75k3q0.5c5/19.4.cnf, 0.781163
r75k3q0.5c5/232.5.cnf, 0.521446
r75k3q0.5c5/234.4.cnf, 0.532072
r75k3q0.5c5/5.3.cnf, 0.72
r75k3q0.5c5/30.1.cnf, 0.670123
r75k3q0.5c5/232.3.cnf, 0.503303
r75k3q0.5c5/245.3.cnf, 0.536998
r75k3q0.5c5/242.3.cnf, 0.458173
r75k3q0.5c5/229.4.cnf, 0.450894
r75k3q0.5c5/247.3.cnf, 0.518199
r75k3q0.5c5/259.5.cnf, 0.529723
r75k3q0.5c5/237.1.cnf, 0.447393
r75k3q0.5c5/250.5.cnf, 0.503223
r75k3q0.5c5/265.5.cnf, 0.510617
r75k3q0.5c5/256.1.cnf, 0.485314
r75k3q0.5c5/38.4.cnf, 0.617267
r75k3q0.5c5/259.3.cnf, 0.475198
r75k3q0.5c5/270.2.cnf, 0.521417
r75k3q0.5c5/262.1.cnf, 0.508605
r75k3q0.5c5/259.2.cnf, 0.465684
r75k3q0.5c5/297.4.cnf, 0.548403
r75k3q0.5c5/267.2.cnf, 0.469281
r75k3q0.5c5/29.2.cnf, 0.716607
r75k3q0.5c5/252.2.cnf, 0.498805
r75k3q0.5c5/276.1.cnf, 0.483804
r75k3q0.5c5/201.2.cnf, 0.51722
r75k3q0.5c5/15.3.cnf, 0.826667
r75k3q0.5c5/287.2.cnf, 0.509452
r75k3q0.5c5/266.4.cnf, 0.479881
r75k3q0.5c5/280.4.cnf, 0.505411
r75k3q0.5c5/261.4.cnf, 0.394483
r75k3q0.5c5/142.5.cnf, 0.509379
r75k3q0.5c5/298.4.cnf, 0.498474
r75k3q0.5c5/282.2.cnf, 0.515129
r75k3q0.5c5/305.5.cnf, 0.502804
r75k3q0.5c5/296.1.cnf, 0.522701
r75k3q0.5c5/70.4.cnf, 0.593741
r75k3q0.5c5/290.5.cnf, 0.496572
r75k3q0.5c5/292.4.cnf, 0.485139
r75k3q0.5c5/277.5.cnf, 0.466878
r75k3q0.5c5/51.4.cnf, 0.63608
r75k3q0.5c5/292.1.cnf, 0.483051
r75k3q0.5c5/24.5.cnf, 0.751929
r75k3q0.5c5/116.4.cnf, 0.487647
r75k3q0.5c5/48.2.cnf, 0.591339
r75k3q0.5c5/315.5.cnf, 0.481607
r75k3q0.5c5/307.5.cnf, 0.509659
r75k3q0.5c5/270.4.cnf, 0.512413
r75k3q0.5c5/25.1.cnf, 0.658489
r75k3q0.5c5/209.5.cnf, 0.470871
r75k3q0.5c5/318.2.cnf, 0.463684
r75k3q0.5c5/224.5.cnf, 0.528677
r75k3q0.5c5/80.2.cnf, 0.543715
r75k3q0.5c5/334.2.cnf, 0.495928
r75k3q0.5c5/329.5.cnf, 0.539661
r75k3q0.5c5/299.4.cnf, 0.482055
r75k3q0.5c5/61.2.cnf, 0.574666
r75k3q0.5c5/11.2.cnf, 0.760331
r75k3q0.5c5/69.5.cnf, 0.602908
r75k3q0.5c5/43.5.cnf, 0.659215
r75k3q0.5c5/34.3.cnf, 0.625721
r75k3q0.5c5/273.2.cnf, 0.527636
r75k3q0.5c5/110.1.cnf, 0.491589
r75k3q0.5c5/322.1.cnf, 0.461129
r75k3q0.5c5/148.5.cnf, 0.451637
r75k3q0.5c5/270.1.cnf, 0.495975
r75k3q0.5c5/285.2.cnf, 0.495688
r75k3q0.5c5/98.3.cnf, 0.540122
r75k3q0.5c5/108.4.cnf, 0.516899
r75k3q0.5c5/79.3.cnf, 0.541989
r75k3q0.5c5/20.4.cnf, 0.782222
r75k3q0.5c5/223.2.cnf, 0.5315
r75k3q0.5c5/44.1.cnf, 0.661846
r75k3q0.5c5/170.2.cnf, 0.517316
r75k3q0.5c5/185.2.cnf, 0.534427
r75k3q0.5c5/140.3.cnf, 0.499898
r75k3q0.5c5/88.5.cnf, 0.51716
r75k3q0.5c5/139.2.cnf, 0.553336
r75k3q0.5c5/19.5.cnf, 0.809788
r75k3q0.5c5/30.2.cnf, 0.735802
r75k3q0.5c5/89.1.cnf, 0.483791
r75k3q0.5c5/202.1.cnf, 0.503605
