file,#v,#c,#l
r50k5/50.455.0.cnf, 50, 455, 2275
r50k5/50.57.0.cnf, 50, 57, 285
r50k5/50.142.2.cnf, 50, 142, 710
r50k5/50.338.1.cnf, 50, 338, 1690
r50k5/50.37.2.cnf, 50, 37, 185
r50k5/50.629.2.cnf, 50, 629, 3145
r50k5/50.704.1.cnf, 50, 704, 3520
r50k5/50.584.0.cnf, 50, 584, 2920
r50k5/50.494.2.cnf, 50, 494, 2470
r50k5/50.357.0.cnf, 50, 357, 1785
r50k5/50.295.2.cnf, 50, 295, 1475
r50k5/50.44.1.cnf, 50, 44, 220
r50k5/50.1057.0.cnf, 50, 1057, 5285
r50k5/50.1050.1.cnf, 50, 1050, 5250
r50k5/50.599.2.cnf, 50, 599, 2995
r50k5/50.306.1.cnf, 50, 306, 1530
r50k5/50.401.0.cnf, 50, 401, 2005
r50k5/50.1015.1.cnf, 50, 1015, 5075
r50k5/50.278.0.cnf, 50, 278, 1390
r50k5/50.332.1.cnf, 50, 332, 1660
r50k5/50.875.2.cnf, 50, 875, 4375
r50k5/50.213.1.cnf, 50, 213, 1065
r50k5/50.548.1.cnf, 50, 548, 2740
r50k5/50.258.1.cnf, 50, 258, 1290
r50k5/50.1064.0.cnf, 50, 1064, 5320
r50k5/50.97.2.cnf, 50, 97, 485
r50k5/50.415.1.cnf, 50, 415, 2075
r50k5/50.462.0.cnf, 50, 462, 2310
r50k5/50.233.2.cnf, 50, 233, 1165
r50k5/50.140.1.cnf, 50, 140, 700
r50k5/50.356.0.cnf, 50, 356, 1780
r50k5/50.751.1.cnf, 50, 751, 3755
r50k5/50.876.0.cnf, 50, 876, 4380
r50k5/50.72.2.cnf, 50, 72, 360
r50k5/50.794.2.cnf, 50, 794, 3970
r50k5/50.347.1.cnf, 50, 347, 1735
r50k5/50.165.2.cnf, 50, 165, 825
r50k5/50.831.1.cnf, 50, 831, 4155
r50k5/50.262.0.cnf, 50, 262, 1310
r50k5/50.936.2.cnf, 50, 936, 4680
r50k5/50.505.0.cnf, 50, 505, 2525
r50k5/50.883.0.cnf, 50, 883, 4415
r50k5/50.64.2.cnf, 50, 64, 320
r50k5/50.570.0.cnf, 50, 570, 2850
r50k5/50.795.0.cnf, 50, 795, 3975
r50k5/50.135.0.cnf, 50, 135, 675
r50k5/50.636.0.cnf, 50, 636, 3180
r50k5/50.253.2.cnf, 50, 253, 1265
r50k5/50.614.0.cnf, 50, 614, 3070
r50k5/50.21.0.cnf, 50, 21, 105
r50k5/50.393.1.cnf, 50, 393, 1965
r50k5/50.189.1.cnf, 50, 189, 945
r50k5/50.206.1.cnf, 50, 206, 1030
r50k5/50.406.1.cnf, 50, 406, 2030
r50k5/50.545.2.cnf, 50, 545, 2725
r50k5/50.417.0.cnf, 50, 417, 2085
r50k5/50.196.1.cnf, 50, 196, 980
r50k5/50.752.1.cnf, 50, 752, 3760
r50k5/50.1127.0.cnf, 50, 1127, 5635
r50k5/50.886.1.cnf, 50, 886, 4430
r50k5/50.673.1.cnf, 50, 673, 3365
r50k5/50.190.2.cnf, 50, 190, 950
r50k5/50.186.1.cnf, 50, 186, 930
r50k5/50.834.0.cnf, 50, 834, 4170
r50k5/50.442.2.cnf, 50, 442, 2210
r50k5/50.309.1.cnf, 50, 309, 1545
r50k5/50.780.0.cnf, 50, 780, 3900
r50k5/50.655.1.cnf, 50, 655, 3275
r50k5/50.1010.0.cnf, 50, 1010, 5050
r50k5/50.289.2.cnf, 50, 289, 1445
r50k5/50.930.1.cnf, 50, 930, 4650
r50k5/50.860.2.cnf, 50, 860, 4300
r50k5/50.948.1.cnf, 50, 948, 4740
r50k5/50.797.0.cnf, 50, 797, 3985
r50k5/50.45.1.cnf, 50, 45, 225
r50k5/50.435.2.cnf, 50, 435, 2175
r50k5/50.306.0.cnf, 50, 306, 1530
r50k5/50.466.0.cnf, 50, 466, 2330
r50k5/50.367.1.cnf, 50, 367, 1835
r50k5/50.721.0.cnf, 50, 721, 3605
r50k5/50.700.2.cnf, 50, 700, 3500
r50k5/50.886.2.cnf, 50, 886, 4430
r50k5/50.401.1.cnf, 50, 401, 2005
r50k5/50.743.1.cnf, 50, 743, 3715
r50k5/50.374.0.cnf, 50, 374, 1870
r50k5/50.335.1.cnf, 50, 335, 1675
r50k5/50.292.0.cnf, 50, 292, 1460
r50k5/50.157.0.cnf, 50, 157, 785
r50k5/50.600.1.cnf, 50, 600, 3000
r50k5/50.404.1.cnf, 50, 404, 2020
r50k5/50.191.0.cnf, 50, 191, 955
r50k5/50.807.0.cnf, 50, 807, 4035
r50k5/50.480.2.cnf, 50, 480, 2400
r50k5/50.233.0.cnf, 50, 233, 1165
r50k5/50.284.1.cnf, 50, 284, 1420
r50k5/50.639.0.cnf, 50, 639, 3195
r50k5/50.248.0.cnf, 50, 248, 1240
r50k5/50.14.2.cnf, 50, 14, 70
r50k5/50.438.0.cnf, 50, 438, 2190
r50k5/50.921.2.cnf, 50, 921, 4605
r50k5/50.118.2.cnf, 50, 118, 590
r50k5/50.136.2.cnf, 50, 136, 680
r50k5/50.273.0.cnf, 50, 273, 1365
r50k5/50.491.2.cnf, 50, 491, 2455
r50k5/50.956.0.cnf, 50, 956, 4780
r50k5/50.590.1.cnf, 50, 590, 2950
r50k5/50.771.2.cnf, 50, 771, 3855
r50k5/50.15.0.cnf, 50, 15, 75
r50k5/50.925.0.cnf, 50, 925, 4625
r50k5/50.842.1.cnf, 50, 842, 4210
r50k5/50.37.1.cnf, 50, 37, 185
r50k5/50.1047.1.cnf, 50, 1047, 5235
r50k5/50.219.0.cnf, 50, 219, 1095
r50k5/50.1046.1.cnf, 50, 1046, 5230
r50k5/50.264.2.cnf, 50, 264, 1320
r50k5/50.17.1.cnf, 50, 17, 85
r50k5/50.1030.0.cnf, 50, 1030, 5150
r50k5/50.143.2.cnf, 50, 143, 715
r50k5/50.732.2.cnf, 50, 732, 3660
r50k5/50.71.2.cnf, 50, 71, 355
r50k5/50.17.2.cnf, 50, 17, 85
r50k5/50.265.1.cnf, 50, 265, 1325
r50k5/50.354.1.cnf, 50, 354, 1770
r50k5/50.341.2.cnf, 50, 341, 1705
r50k5/50.651.0.cnf, 50, 651, 3255
r50k5/50.219.1.cnf, 50, 219, 1095
r50k5/50.710.1.cnf, 50, 710, 3550
r50k5/50.382.0.cnf, 50, 382, 1910
r50k5/50.802.0.cnf, 50, 802, 4010
r50k5/50.197.2.cnf, 50, 197, 985
r50k5/50.699.1.cnf, 50, 699, 3495
r50k5/50.328.1.cnf, 50, 328, 1640
r50k5/50.449.2.cnf, 50, 449, 2245
r50k5/50.218.2.cnf, 50, 218, 1090
r50k5/50.426.0.cnf, 50, 426, 2130
r50k5/50.1013.1.cnf, 50, 1013, 5065
r50k5/50.64.0.cnf, 50, 64, 320
r50k5/50.191.1.cnf, 50, 191, 955
r50k5/50.1012.0.cnf, 50, 1012, 5060
r50k5/50.920.1.cnf, 50, 920, 4600
r50k5/50.201.1.cnf, 50, 201, 1005
r50k5/50.984.0.cnf, 50, 984, 4920
r50k5/50.845.0.cnf, 50, 845, 4225
r50k5/50.184.2.cnf, 50, 184, 920
r50k5/50.964.2.cnf, 50, 964, 4820
r50k5/50.104.2.cnf, 50, 104, 520
r50k5/50.457.1.cnf, 50, 457, 2285
r50k5/50.369.1.cnf, 50, 369, 1845
r50k5/50.1006.2.cnf, 50, 1006, 5030
r50k5/50.441.0.cnf, 50, 441, 2205
r50k5/50.724.1.cnf, 50, 724, 3620
r50k5/50.978.0.cnf, 50, 978, 4890
r50k5/50.612.2.cnf, 50, 612, 3060
r50k5/50.761.0.cnf, 50, 761, 3805
r50k5/50.555.2.cnf, 50, 555, 2775
r50k5/50.344.2.cnf, 50, 344, 1720
r50k5/50.347.0.cnf, 50, 347, 1735
r50k5/50.102.2.cnf, 50, 102, 510
r50k5/50.137.1.cnf, 50, 137, 685
r50k5/50.504.1.cnf, 50, 504, 2520
r50k5/50.625.2.cnf, 50, 625, 3125
r50k5/50.809.1.cnf, 50, 809, 4045
r50k5/50.217.1.cnf, 50, 217, 1085
r50k5/50.796.0.cnf, 50, 796, 3980
r50k5/50.295.1.cnf, 50, 295, 1475
r50k5/50.479.0.cnf, 50, 479, 2395
r50k5/50.322.1.cnf, 50, 322, 1610
r50k5/50.390.2.cnf, 50, 390, 1950
r50k5/50.974.0.cnf, 50, 974, 4870
r50k5/50.99.1.cnf, 50, 99, 495
r50k5/50.960.0.cnf, 50, 960, 4800
r50k5/50.131.0.cnf, 50, 131, 655
r50k5/50.212.1.cnf, 50, 212, 1060
r50k5/50.691.1.cnf, 50, 691, 3455
r50k5/50.897.1.cnf, 50, 897, 4485
r50k5/50.324.2.cnf, 50, 324, 1620
r50k5/50.653.0.cnf, 50, 653, 3265
r50k5/50.288.2.cnf, 50, 288, 1440
r50k5/50.196.2.cnf, 50, 196, 980
r50k5/50.681.0.cnf, 50, 681, 3405
r50k5/50.197.0.cnf, 50, 197, 985
r50k5/50.440.0.cnf, 50, 440, 2200
r50k5/50.880.1.cnf, 50, 880, 4400
r50k5/50.684.0.cnf, 50, 684, 3420
r50k5/50.745.0.cnf, 50, 745, 3725
r50k5/50.289.1.cnf, 50, 289, 1445
r50k5/50.199.2.cnf, 50, 199, 995
r50k5/50.814.2.cnf, 50, 814, 4070
r50k5/50.305.2.cnf, 50, 305, 1525
r50k5/50.306.2.cnf, 50, 306, 1530
r50k5/50.370.0.cnf, 50, 370, 1850
r50k5/50.719.0.cnf, 50, 719, 3595
r50k5/50.206.0.cnf, 50, 206, 1030
r50k5/50.753.1.cnf, 50, 753, 3765
r50k5/50.544.2.cnf, 50, 544, 2720
r50k5/50.684.1.cnf, 50, 684, 3420
r50k5/50.207.0.cnf, 50, 207, 1035
r50k5/50.161.0.cnf, 50, 161, 805
r50k5/50.229.2.cnf, 50, 229, 1145
r50k5/50.456.1.cnf, 50, 456, 2280
r50k5/50.719.2.cnf, 50, 719, 3595
r50k5/50.1019.0.cnf, 50, 1019, 5095
r50k5/50.668.1.cnf, 50, 668, 3340
r50k5/50.128.1.cnf, 50, 128, 640
r50k5/50.636.1.cnf, 50, 636, 3180
r50k5/50.989.2.cnf, 50, 989, 4945
