file, cost
Benchmarks/Blasted_Real/blasted_case200.cnf, 6
Benchmarks/Blasted_Real/blasted_case206.cnf, 6
Benchmarks/Blasted_Real/blasted_case60.cnf, 3
Benchmarks/V15/s27_new_15_7.cnf, 1
Benchmarks/V3/s27_new_3_2.cnf, 3
Benchmarks/V7/s27_new_7_4.cnf, 3
Benchmarks/V3/s27_3_2.cnf, 2
Benchmarks/V7/s27_7_4.cnf, 3
Benchmarks/V15/s27_15_7.cnf, 2
Benchmarks/Blasted_Real/blasted_case127.cnf, 7
Benchmarks/Blasted_Real/blasted_case103.cnf, 5
Benchmarks/Blasted_Real/blasted_case102.cnf, 5
Benchmarks/Blasted_Real/blasted_case128.cnf, 7
Benchmarks/FeatureModels/FM-3.6.1-refined.cnf, 3
Benchmarks/Blasted_Real/blasted_case28.cnf, 7
Benchmarks/Blasted_Real/blasted_case33.cnf, 7
Benchmarks/Blasted_Real/blasted_case27.cnf, 7
Benchmarks/Blasted_Real/blasted_case32.cnf, 7
Benchmarks/Blasted_Real/blasted_case26.cnf, 6
Benchmarks/Blasted_Real/blasted_case134.cnf, 2
Benchmarks/Blasted_Real/blasted_case31.cnf, 6
Benchmarks/Blasted_Real/blasted_case137.cnf, 2
Benchmarks/Blasted_Real/blasted_case36.cnf, 7
Benchmarks/Blasted_Real/blasted_case24.cnf, 8
Benchmarks/tutorial1.sk_1_1.cnf, 0
Benchmarks/Blasted_Real/blasted_case29.cnf, 8
Benchmarks/Blasted_Real/blasted_case25.cnf, 9
Benchmarks/Blasted_Real/blasted_case30.cnf, 9
Benchmarks/Blasted_Real/blasted_case100.cnf, 2
Benchmarks/Blasted_Real/blasted_case101.cnf, 2
Benchmarks/Blasted_Real/blasted_case17.cnf, 5
Benchmarks/Blasted_Real/blasted_case23.cnf, 5
Benchmarks/Blasted_Real/blasted_case59_1.cnf, 7
Benchmarks/Blasted_Real/blasted_case59.cnf, 7
Benchmarks/Blasted_Real/blasted_case64.cnf, 7
Benchmarks/Blasted_Real/blasted_case58.cnf, 6
Benchmarks/Blasted_Real/blasted_case63.cnf, 6
Benchmarks/Blasted_Real/blasted_case4.cnf, 8
Benchmarks/Blasted_Real/blasted_case11.cnf, 10
Benchmarks/Blasted_Real/blasted_case43.cnf, 11
Benchmarks/Blasted_Real/blasted_case45.cnf, 11
Benchmarks/Blasted_Real/blasted_case7.cnf, 6
Benchmarks/Blasted_Real/blasted_case21.cnf, 14
Benchmarks/Blasted_Real/blasted_case47.cnf, 6
Benchmarks/Blasted_Real/blasted_case22.cnf, 14
Benchmarks/Blasted_Real/blasted_case51.cnf, 12
Benchmarks/Blasted_Real/blasted_case52.cnf, 12
Benchmarks/Blasted_Real/blasted_case53.cnf, 12
Benchmarks/Blasted_Real/blasted_case124.cnf, 8
Benchmarks/Blasted_Real/blasted_case112.cnf, 13
Benchmarks/Blasted_Real/blasted_case38.cnf, 16
Benchmarks/Blasted_Real/blasted_case55.cnf, 17
Benchmarks/Blasted_Real/blasted_case105.cnf, 11
Benchmarks/Blasted_Real/blasted_case8.cnf, 17
Benchmarks/Blasted_Real/blasted_case44.cnf, 28
Benchmarks/Blasted_Real/blasted_case5.cnf, 14
Benchmarks/Blasted_Real/blasted_case46.cnf, 27
Benchmarks/Blasted_Real/blasted_case68.cnf, 20
Benchmarks/V3/s344_3_2.cnf, 13
Benchmarks/Blasted_Real/blasted_case1.cnf, 31
Benchmarks/V3/s349_3_2.cnf, 13
Benchmarks/Blasted_Real/blasted_case201.cnf, 26
Benchmarks/Blasted_Real/blasted_case202.cnf, 26
Benchmarks/Blasted_Real/blasted_case106.cnf, 10
Benchmarks/Blasted_Real/blasted_case56.cnf, 32
Benchmarks/Blasted_Real/blasted_case54.cnf, 35
Benchmarks/V3/s298_3_2.cnf, 15
Benchmarks/Blasted_Real/blasted_case133.cnf, 11
Benchmarks/Blasted_Real/blasted_case108.cnf, 34
Benchmarks/Blasted_Real/blasted_case136.cnf, 11
Benchmarks/Blasted_Real/blasted_case203.cnf, 26
Benchmarks/Blasted_Real/blasted_case204.cnf, 26
Benchmarks/Blasted_Real/blasted_case205.cnf, 26
Benchmarks/V7/s344_7_4.cnf, 13
Benchmarks/V7/s349_7_4.cnf, 13
Benchmarks/Blasted_Real/blasted_case145.cnf, 11
Benchmarks/Blasted_Real/blasted_case146.cnf, 11
Benchmarks/V7/s298_7_4.cnf, 18
Benchmarks/Blasted_Real/blasted_case132.cnf, 25
Benchmarks/Blasted_Real/blasted_case135.cnf, 25
Benchmarks/Blasted_Real/blasted_case_1_b14_1.cnf, 32
Benchmarks/Blasted_Real/blasted_case_2_b14_1.cnf, 32
Benchmarks/Blasted_Real/blasted_case109.cnf, 57
Benchmarks/Blasted_Real/blasted_case_3_b14_1.cnf, 32
Benchmarks/Blasted_Real/blasted_case39.cnf, 26
Benchmarks/Blasted_Real/blasted_case40.cnf, 26
Benchmarks/V3/s382_3_2.cnf, 18
Benchmarks/Blasted_Real/blasted_case14.cnf, 15
Benchmarks/Blasted_Real/blasted_case41.cnf, 26
Benchmarks/Blasted_Real/blasted_case119.cnf, 31
Benchmarks/Blasted_Real/blasted_case_1_b14_2.cnf, 30
Benchmarks/Blasted_Real/blasted_case_2_b14_2.cnf, 30
Benchmarks/Blasted_Real/blasted_case123.cnf, 48
Benchmarks/Blasted_Real/blasted_case_3_b14_2.cnf, 30
Benchmarks/V7/s382_7_4.cnf, 22
Benchmarks/Blasted_Real/blasted_case9.cnf, 16
Benchmarks/Blasted_Real/blasted_case61.cnf, 17
Benchmarks/Blasted_Real/blasted_case120.cnf, 34
Benchmarks/V15/s349_15_7.cnf, 23
Benchmarks/V15/s344_15_7.cnf, 22
Benchmarks/V3/s444_3_2.cnf, 19
Benchmarks/Blasted_Real/blasted_case57.cnf, 52
Benchmarks/Blasted_Real/blasted_case110.cnf, 55
Benchmarks/Blasted_Real/blasted_case121.cnf, 41
Benchmarks/V15/s298_15_7.cnf, 23
Benchmarks/V3/s420_3_2.cnf, 17
Benchmarks/Blasted_Real/blasted_case62.cnf, 51
Benchmarks/V3/s420_new1_3_2.cnf, 17
Benchmarks/V3/s420_new_3_2.cnf, 16
Benchmarks/Blasted_Real/blasted_case3.cnf, 58
Benchmarks/Blasted_Real/blasted_case15.cnf, 17
Benchmarks/V3/s510_3_2.cnf, 68
Benchmarks/Blasted_Real/blasted_case_1_b14_3.cnf, 39
Benchmarks/Blasted_Real/blasted_case126.cnf, 67
Benchmarks/Blasted_Real/blasted_case2.cnf, 57
Benchmarks/Blasted_Real/blasted_case_2_b14_3.cnf, 39
Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf, 39
Benchmarks/V7/s444_7_4.cnf, 24
Benchmarks/Blasted_Real/blasted_case111.cnf, 74
Benchmarks/Blasted_Real/blasted_case117.cnf, 71
Benchmarks/V7/s420_7_4.cnf, 27
Benchmarks/Blasted_Real/blasted_case113.cnf, 71
Benchmarks/Blasted_Real/blasted_case118.cnf, 68
Benchmarks/V7/s420_new1_7_4.cnf, 26
Benchmarks/V7/s420_new_7_4.cnf, 27
Benchmarks/polynomial.sk_7_25.cnf, 43
Benchmarks/Blasted_Real/blasted_case10.cnf, 28
Benchmarks/Blasted_Real/blasted_case122.cnf, 73
Benchmarks/Blasted_Real/blasted_case6.cnf, 28
Benchmarks/V7/s510_7_4.cnf, 80
Benchmarks/Blasted_Real/blasted_case_0_b11_1.cnf, 51
Benchmarks/V15/s382_15_7.cnf, 28
Benchmarks/Blasted_Real/blasted_case_1_b11_1.cnf, 51
Benchmarks/V15/s510_15_7.cnf, 71
Benchmarks/V15/s420_new_15_7.cnf, 26
Benchmarks/V3/s526_3_2.cnf, 38
Benchmarks/V15/s420_15_7.cnf, 33
Benchmarks/V15/s420_new1_15_7.cnf, 33
Benchmarks/V3/s526a_3_2.cnf, 40
Benchmarks/V15/s444_15_7.cnf, 35
Benchmarks/registerlesSwap.sk_3_10.cnf, 54
Benchmarks/V7/s526_7_4.cnf, 52
Benchmarks/V7/s526a_7_4.cnf, 50
Benchmarks/Blasted_Real/blasted_case19.cnf, 29
Benchmarks/Blasted_Real/blasted_case125.cnf, 92
Benchmarks/Blasted_Real/blasted_case20.cnf, 30
Benchmarks/Blasted_Real/blasted_case35.cnf, 53
Benchmarks/Blasted_Real/blasted_case34.cnf, 82
Benchmarks/Blasted_Real/blasted_case_0_b12_1.cnf, 73
Benchmarks/Blasted_Real/blasted_case143.cnf, 95
Benchmarks/Blasted_Real/blasted_case_1_b12_1.cnf, 73
Benchmarks/Blasted_Real/blasted_case_2_b12_1.cnf, 73
Benchmarks/Blasted_Real/blasted_case114.cnf, 85
Benchmarks/Blasted_Real/blasted_case115.cnf, 83
Benchmarks/Blasted_Real/blasted_case131.cnf, 84
Benchmarks/V15/s526a_15_7.cnf, 55
Benchmarks/V15/s526_15_7.cnf, 56
Benchmarks/Blasted_Real/blasted_case116.cnf, 84
Benchmarks/Blasted_Real/blasted_case140.cnf, 45
Benchmarks/V3/s641_3_2.cnf, 42
Benchmarks/V7/s641_7_4.cnf, 43
Benchmarks/V3/s713_3_2.cnf, 45
Benchmarks/Blasted_Real/blasted_squaring51.cnf, 89
Benchmarks/Blasted_Real/blasted_squaring50.cnf, 88
Benchmarks/FMEasy/toybox2.cnf, 2
Benchmarks/V3/s953a_3_2.cnf, 147
Benchmarks/V7/s713_7_4.cnf, 50
Benchmarks/FMEasy/toybox.cnf, 2
Benchmarks/V15/s641_15_7.cnf, 54
Benchmarks/V7/s953a_7_4.cnf, 152
Benchmarks/V15/s713_15_7.cnf, 52
Benchmarks/Blasted_Real/blasted_case18.cnf, 97
Benchmarks/V3/s838_3_2.cnf, 38
Benchmarks/V3/s820a_3_2.cnf, 121
Benchmarks/V15/s953a_15_7.cnf, 164
Benchmarks/V3/s832a_3_2.cnf, 131
Benchmarks/V7/s838_7_4.cnf, 55
Benchmarks/V7/s820a_7_4.cnf, 133
Benchmarks/Blasted_Real/blasted_case107.cnf, 92
Benchmarks/V7/s832a_7_4.cnf, 133
Benchmarks/Blasted_Real/blasted_case213.cnf, 95
Benchmarks/Blasted_Real/blasted_case130.cnf, 91
Benchmarks/Blasted_Real/blasted_case214.cnf, 95
Benchmarks/FMEasy/axTLS.cnf, 36
Benchmarks/V15/s820a_15_7.cnf, 137
Benchmarks/V15/s838_15_7.cnf, 58
Benchmarks/V3/s1238a_3_2.cnf, 197
Benchmarks/V3/s1196a_3_2.cnf, 180
Benchmarks/V15/s832a_15_7.cnf, 135
Benchmarks/Blasted_Real/blasted_squaring22.cnf, 101
Benchmarks/Blasted_Real/blasted_squaring24.cnf, 101
Benchmarks/Blasted_Real/blasted_squaring20.cnf, 99
Benchmarks/Blasted_Real/blasted_squaring21.cnf, 98
Benchmarks/V7/s1238a_7_4.cnf, 203
Benchmarks/GuidanceService2.sk_2_27.cnf, 65
Benchmarks/Blasted_Real/blasted_squaring23.cnf, 97
Benchmarks/V7/s1196a_7_4.cnf, 180
Benchmarks/Blasted_Real/blasted_case12.cnf, 106
Benchmarks/Blasted_Real/blasted_case144.cnf, 119
Benchmarks/V15/s1196a_15_7.cnf, 185
Benchmarks/V15/s1238a_15_7.cnf, 194
Benchmarks/V3/s1423a_3_2.cnf, 79
Benchmarks/V7/s1423a_7_4.cnf, 85
Benchmarks/Blasted_Real/blasted_case207.cnf, 127
Benchmarks/Blasted_Real/blasted_case208.cnf, 127
Benchmarks/Blasted_Real/blasted_case_0_b14_1.cnf, 162
Benchmarks/Blasted_Real/blasted_case_0_b12_2.cnf, 170
Benchmarks/Blasted_Real/blasted_case_1_b12_2.cnf, 170
Benchmarks/Blasted_Real/blasted_case_2_b12_2.cnf, 170
Benchmarks/Blasted_Real/blasted_squaring27.cnf, 141
Benchmarks/Blasted_Real/blasted_case139.cnf, 97
Benchmarks/Blasted_Real/blasted_squaring25.cnf, 146
Benchmarks/Blasted_Real/blasted_case138.cnf, 118
Benchmarks/Blasted_Real/blasted_case50.cnf, 186
Benchmarks/V15/s1423a_15_7.cnf, 88
Benchmarks/V3/s1488_3_2.cnf, 267
Benchmarks/Blasted_Real/blasted_case210.cnf, 174
Benchmarks/Blasted_Real/blasted_case211.cnf, 176
Benchmarks/Blasted_Real/blasted_squaring70.cnf, 105
Benchmarks/V7/s1488_7_4.cnf, 267
Benchmarks/Blasted_Real/blasted_squaring2.cnf, 142
Benchmarks/Blasted_Real/blasted_squaring3.cnf, 138
Benchmarks/Blasted_Real/blasted_squaring5.cnf, 138
Benchmarks/Blasted_Real/blasted_squaring6.cnf, 138
Benchmarks/Blasted_Real/blasted_squaring1.cnf, 135
Benchmarks/Blasted_Real/blasted_squaring4.cnf, 136
Benchmarks/Blasted_Real/blasted_case42.cnf, 131
Benchmarks/Blasted_Real/blasted_squaring26.cnf, 169
Benchmarks/V15/s1488_15_7.cnf, 267
Benchmarks/Blasted_Real/blasted_case_2_ptb_1.cnf, 172
Benchmarks/tableBasedAddition.sk_240_1024.cnf, 0
Benchmarks/Blasted_Real/blasted_squaring11.cnf, 156
Benchmarks/Blasted_Real/blasted_case_1_ptb_1.cnf, 171
Benchmarks/GuidanceService.sk_4_27.cnf, 144
Benchmarks/Blasted_Real/blasted_squaring30.cnf, 184
Benchmarks/Blasted_Real/blasted_case37.cnf, 226
Benchmarks/Blasted_Real/blasted_squaring28.cnf, 205
Benchmarks/Blasted_Real/blasted_squaring10.cnf, 191
