file, q
r75k3q0.8c8/2.4.cnf, 0
r75k3q0.8c8/1.1.cnf, 0
r75k3q0.8c8/7.3.cnf, 0.816327
r75k3q0.8c8/10.4.cnf, 0.78
r75k3q0.8c8/15.1.cnf, 0.835556
r75k3q0.8c8/15.2.cnf, 0.73679
r75k3q0.8c8/14.5.cnf, 0.867347
r75k3q0.8c8/20.2.cnf, 0.875
r75k3q0.8c8/19.3.cnf, 0.712835
r75k3q0.8c8/24.3.cnf, 0.803241
r75k3q0.8c8/19.2.cnf, 0.864266
r75k3q0.8c8/24.4.cnf, 0.792052
r75k3q0.8c8/34.1.cnf, 0.804883
r75k3q0.8c8/29.1.cnf, 0.86088
r75k3q0.8c8/28.4.cnf, 0.709467
r75k3q0.8c8/28.5.cnf, 0.846655
r75k3q0.8c8/38.3.cnf, 0.792874
r75k3q0.8c8/43.3.cnf, 0.742864
r75k3q0.8c8/33.5.cnf, 0.75329
r75k3q0.8c8/48.1.cnf, 0.796741
r75k3q0.8c8/34.2.cnf, 0.848712
r75k3q0.8c8/43.4.cnf, 0.820323
r75k3q0.8c8/47.5.cnf, 0.827272
r75k3q0.8c8/51.2.cnf, 0.797813
r75k3q0.8c8/38.2.cnf, 0.782087
r75k3q0.8c8/59.5.cnf, 0.782693
r75k3q0.8c8/10.5.cnf, 0.8
r75k3q0.8c8/55.4.cnf, 0.815941
r75k3q0.8c8/51.3.cnf, 0.730147
r75k3q0.8c8/55.5.cnf, 0.758531
r75k3q0.8c8/75.1.cnf, 0.865422
r75k3q0.8c8/56.1.cnf, 0.839711
r75k3q0.8c8/65.2.cnf, 0.806706
r75k3q0.8c8/69.4.cnf, 0.803057
r75k3q0.8c8/80.1.cnf, 0.83559
r75k3q0.8c8/69.3.cnf, 0.776634
r75k3q0.8c8/74.5.cnf, 0.768119
r75k3q0.8c8/79.2.cnf, 0.774395
r75k3q0.8c8/84.2.cnf, 0.828648
r75k3q0.8c8/79.1.cnf, 0.753797
r75k3q0.8c8/74.4.cnf, 0.806387
r75k3q0.8c8/65.3.cnf, 0.793557
r75k3q0.8c8/20.3.cnf, 0.825
r75k3q0.8c8/60.5.cnf, 0.737531
r75k3q0.8c8/61.1.cnf, 0.796202
r75k3q0.8c8/88.4.cnf, 0.813626
r75k3q0.8c8/70.3.cnf, 0.714966
r75k3q0.8c8/119.2.cnf, 0.778352
r75k3q0.8c8/93.5.cnf, 0.750337
r75k3q0.8c8/98.2.cnf, 0.778472
r75k3q0.8c8/93.4.cnf, 0.75265
r75k3q0.8c8/108.3.cnf, 0.776997
r75k3q0.8c8/119.1.cnf, 0.81005
r75k3q0.8c8/112.2.cnf, 0.843661
r75k3q0.8c8/102.4.cnf, 0.774554
r75k3q0.8c8/106.3.cnf, 0.777066
r75k3q0.8c8/100.3.cnf, 0.748
r75k3q0.8c8/84.3.cnf, 0.770723
r75k3q0.8c8/110.4.cnf, 0.786942
r75k3q0.8c8/103.3.cnf, 0.78158
r75k3q0.8c8/126.5.cnf, 0.798522
r75k3q0.8c8/94.1.cnf, 0.744235
r75k3q0.8c8/11.1.cnf, 0.842975
r75k3q0.8c8/107.1.cnf, 0.770334
r75k3q0.8c8/117.2.cnf, 0.80473
r75k3q0.8c8/102.2.cnf, 0.754621
r75k3q0.8c8/116.4.cnf, 0.806712
r75k3q0.8c8/127.1.cnf, 0.766618
r75k3q0.8c8/142.5.cnf, 0.823333
r75k3q0.8c8/135.5.cnf, 0.781198
r75k3q0.8c8/126.1.cnf, 0.813981
r75k3q0.8c8/138.5.cnf, 0.801057
r75k3q0.8c8/149.5.cnf, 0.779156
r75k3q0.8c8/163.3.cnf, 0.822362
r75k3q0.8c8/140.5.cnf, 0.778107
r75k3q0.8c8/5.3.cnf, 0.64
r75k3q0.8c8/30.1.cnf, 0.797037
r75k3q0.8c8/143.4.cnf, 0.77822
r75k3q0.8c8/110.1.cnf, 0.822181
r75k3q0.8c8/150.1.cnf, 0.751921
r75k3q0.8c8/148.5.cnf, 0.77893
r75k3q0.8c8/19.4.cnf, 0.853186
r75k3q0.8c8/144.1.cnf, 0.801006
r75k3q0.8c8/136.2.cnf, 0.769972
r75k3q0.8c8/177.2.cnf, 0.80254
r75k3q0.8c8/173.4.cnf, 0.799321
r75k3q0.8c8/168.2.cnf, 0.809558
r75k3q0.8c8/164.1.cnf, 0.799127
r75k3q0.8c8/171.1.cnf, 0.817934
r75k3q0.8c8/159.2.cnf, 0.752886
r75k3q0.8c8/185.3.cnf, 0.791709
r75k3q0.8c8/38.4.cnf, 0.835026
r75k3q0.8c8/175.3.cnf, 0.78782
r75k3q0.8c8/190.1.cnf, 0.806662
r75k3q0.8c8/176.5.cnf, 0.771379
r75k3q0.8c8/181.3.cnf, 0.806085
r75k3q0.8c8/184.2.cnf, 0.797186
r75k3q0.8c8/175.5.cnf, 0.805412
r75k3q0.8c8/204.4.cnf, 0.803211
r75k3q0.8c8/209.5.cnf, 0.808753
r75k3q0.8c8/203.2.cnf, 0.816278
r75k3q0.8c8/201.2.cnf, 0.794069
r75k3q0.8c8/180.3.cnf, 0.770527
r75k3q0.8c8/70.4.cnf, 0.776508
r75k3q0.8c8/200.3.cnf, 0.796772
r75k3q0.8c8/187.3.cnf, 0.778576
r75k3q0.8c8/199.5.cnf, 0.824714
r75k3q0.8c8/185.2.cnf, 0.819889
