file, q
r75k3q0.3c8/29.2.cnf, 0.643991
r75k3q0.3c8/280.4.cnf, 0.214776
r75k3q0.3c8/292.1.cnf, 0.29518
r75k3q0.3c8/282.2.cnf, 0.307728
r75k3q0.3c8/290.5.cnf, 0.233578
r75k3q0.3c8/270.2.cnf, 0.30965
r75k3q0.3c8/292.4.cnf, 0.205915
r75k3q0.3c8/38.4.cnf, 0.550939
r75k3q0.3c8/287.2.cnf, 0.22662
r75k3q0.3c8/300.4.cnf, 0.20567
r75k3q0.3c8/298.4.cnf, 0.274561
r75k3q0.3c8/15.3.cnf, 0.767407
r75k3q0.3c8/305.5.cnf, 0.307908
r75k3q0.3c8/201.2.cnf, 0.322748
r75k3q0.3c8/299.4.cnf, 0.188122
r75k3q0.3c8/297.4.cnf, 0.21022
r75k3q0.3c8/296.1.cnf, 0.241529
r75k3q0.3c8/296.5.cnf, 0.212772
r75k3q0.3c8/307.5.cnf, 0.226273
r75k3q0.3c8/303.2.cnf, 0.219943
r75k3q0.3c8/209.5.cnf, 0.303126
r75k3q0.3c8/142.5.cnf, 0.403395
r75k3q0.3c8/116.4.cnf, 0.322384
r75k3q0.3c8/24.5.cnf, 0.718364
r75k3q0.3c8/321.2.cnf, 0.17937
r75k3q0.3c8/48.2.cnf, 0.542438
r75k3q0.3c8/51.4.cnf, 0.498612
r75k3q0.3c8/270.4.cnf, 0.260076
r75k3q0.3c8/25.1.cnf, 0.698311
r75k3q0.3c8/326.2.cnf, 0.237081
r75k3q0.3c8/322.1.cnf, 0.216791
r75k3q0.3c8/339.4.cnf, 0.179501
r75k3q0.3c8/70.4.cnf, 0.445125
r75k3q0.3c8/43.5.cnf, 0.549126
r75k3q0.3c8/224.5.cnf, 0.315937
r75k3q0.3c8/270.1.cnf, 0.369395
r75k3q0.3c8/148.5.cnf, 0.374391
r75k3q0.3c8/11.2.cnf, 0.747475
r75k3q0.3c8/34.3.cnf, 0.63341
r75k3q0.3c8/61.2.cnf, 0.475679
r75k3q0.3c8/69.5.cnf, 0.479358
r75k3q0.3c8/273.2.cnf, 0.240961
r75k3q0.3c8/110.1.cnf, 0.37831
r75k3q0.3c8/20.4.cnf, 0.699444
r75k3q0.3c8/88.5.cnf, 0.397572
r75k3q0.3c8/80.2.cnf, 0.433889
r75k3q0.3c8/44.1.cnf, 0.573003
r75k3q0.3c8/285.2.cnf, 0.213125
r75k3q0.3c8/108.4.cnf, 0.380792
r75k3q0.3c8/212.1.cnf, 0.351732
r75k3q0.3c8/256.5.cnf, 0.247471
r75k3q0.3c8/98.3.cnf, 0.418923
r75k3q0.3c8/235.2.cnf, 0.25642
r75k3q0.3c8/245.5.cnf, 0.237046
r75k3q0.3c8/19.5.cnf, 0.700215
r75k3q0.3c8/185.2.cnf, 0.27825
r75k3q0.3c8/30.2.cnf, 0.661481
r75k3q0.3c8/153.4.cnf, 0.330865
r75k3q0.3c8/140.3.cnf, 0.377834
r75k3q0.3c8/79.3.cnf, 0.446118
r75k3q0.3c8/170.2.cnf, 0.320062
r75k3q0.3c8/223.2.cnf, 0.285409
r75k3q0.3c8/202.1.cnf, 0.284472
r75k3q0.3c8/139.2.cnf, 0.300732
r75k3q0.3c8/203.2.cnf, 0.341136
r75k3q0.3c8/111.5.cnf, 0.345724
r75k3q0.3c8/56.2.cnf, 0.535998
r75k3q0.3c8/65.4.cnf, 0.482998
r75k3q0.3c8/128.5.cnf, 0.362766
r75k3q0.3c8/84.4.cnf, 0.443689
r75k3q0.3c8/89.1.cnf, 0.433531
r75k3q0.3c8/38.5.cnf, 0.60357
r75k3q0.3c8/149.4.cnf, 0.343283
r75k3q0.3c8/204.3.cnf, 0.355383
r75k3q0.3c8/124.4.cnf, 0.326437
r75k3q0.3c8/94.2.cnf, 0.401665
r75k3q0.3c8/29.3.cnf, 0.614612
r75k3q0.3c8/169.5.cnf, 0.401546
r75k3q0.3c8/210.5.cnf, 0.275551
r75k3q0.3c8/129.1.cnf, 0.332626
r75k3q0.3c8/114.3.cnf, 0.387901
r75k3q0.3c8/142.2.cnf, 0.394752
r75k3q0.3c8/228.1.cnf, 0.319528
r75k3q0.3c8/48.3.cnf, 0.541281
r75k3q0.3c8/75.2.cnf, 0.43682
r75k3q0.3c8/284.1.cnf, 0.239356
r75k3q0.3c8/39.1.cnf, 0.626342
r75k3q0.3c8/151.4.cnf, 0.306751
r75k3q0.3c8/51.5.cnf, 0.510573
r75k3q0.3c8/248.3.cnf, 0.32304
r75k3q0.3c8/141.5.cnf, 0.386947
r75k3q0.3c8/131.3.cnf, 0.381446
r75k3q0.3c8/242.5.cnf, 0.367682
r75k3q0.3c8/164.2.cnf, 0.332133
r75k3q0.3c8/207.4.cnf, 0.342412
r75k3q0.3c8/61.3.cnf, 0.499776
r75k3q0.3c8/15.4.cnf, 0.773333
r75k3q0.3c8/163.1.cnf, 0.294784
r75k3q0.3c8/8.2.cnf, 0.673611
r75k3q0.3c8/247.2.cnf, 0.272912
r75k3q0.3c8/175.4.cnf, 0.353569
r75k3q0.3c8/109.2.cnf, 0.378457
r75k3q0.3c8/255.2.cnf, 0.226038
r75k3q0.3c8/70.5.cnf, 0.468299
r75k3q0.3c8/211.4.cnf, 0.396856
r75k3q0.3c8/80.3.cnf, 0.400868
r75k3q0.3c8/116.3.cnf, 0.358072
r75k3q0.3c8/180.1.cnf, 0.303698
r75k3q0.3c8/52.1.cnf, 0.523422
r75k3q0.3c8/277.3.cnf, 0.316594
r75k3q0.3c8/222.4.cnf, 0.293131
r75k3q0.3c8/198.5.cnf, 0.34683
r75k3q0.3c8/119.4.cnf, 0.399603
r75k3q0.3c8/306.3.cnf, 0.234601
r75k3q0.3c8/146.3.cnf, 0.38134
r75k3q0.3c8/3.3.cnf, 0.666667
r75k3q0.3c8/186.1.cnf, 0.344831
r75k3q0.3c8/71.1.cnf, 0.447288
r75k3q0.3c8/90.1.cnf, 0.373143
r75k3q0.3c8/98.4.cnf, 0.398838
r75k3q0.3c8/79.4.cnf, 0.495932
r75k3q0.3c8/136.5.cnf, 0.329344
r75k3q0.3c8/209.1.cnf, 0.292247
r75k3q0.3c8/25.2.cnf, 0.632178
r75k3q0.3c8/34.4.cnf, 0.656094
r75k3q0.3c8/216.1.cnf, 0.234421
r75k3q0.3c8/115.3.cnf, 0.352044
r75k3q0.3c8/174.4.cnf, 0.327182
r75k3q0.3c8/112.4.cnf, 0.393017
r75k3q0.3c8/180.2.cnf, 0.321303
r75k3q0.3c8/9.5.cnf, 0.737997
r75k3q0.3c8/245.1.cnf, 0.359938
r75k3q0.3c8/321.5.cnf, 0.252328
r75k3q0.3c8/172.4.cnf, 0.323741
r75k3q0.3c8/194.4.cnf, 0.298913
r75k3q0.3c8/11.3.cnf, 0.842975
r75k3q0.3c8/89.2.cnf, 0.440825
r75k3q0.3c8/179.2.cnf, 0.324667
r75k3q0.3c8/110.5.cnf, 0.406354
r75k3q0.3c8/44.2.cnf, 0.588613
r75k3q0.3c8/320.5.cnf, 0.191541
r75k3q0.3c8/255.5.cnf, 0.256139
r75k3q0.3c8/233.1.cnf, 0.28494
r75k3q0.3c8/253.4.cnf, 0.208153
r75k3q0.3c8/160.5.cnf, 0.370503
r75k3q0.3c8/20.5.cnf, 0.822778
r75k3q0.3c8/303.1.cnf, 0.351302
r75k3q0.3c8/268.3.cnf, 0.237564
r75k3q0.3c8/120.5.cnf, 0.390833
r75k3q0.3c8/350.4.cnf, 0.182899
r75k3q0.3c8/229.5.cnf, 0.315858
r75k3q0.3c8/176.2.cnf, 0.377037
r75k3q0.3c8/258.5.cnf, 0.284629
r75k3q0.3c8/21.1.cnf, 0.701436
r75k3q0.3c8/212.2.cnf, 0.341492
r75k3q0.3c8/290.2.cnf, 0.211618
r75k3q0.3c8/157.5.cnf, 0.341754
r75k3q0.3c8/30.3.cnf, 0.581235
r75k3q0.3c8/181.2.cnf, 0.311591
r75k3q0.3c8/299.3.cnf, 0.286546
r75k3q0.3c8/160.4.cnf, 0.40263
r75k3q0.3c8/129.2.cnf, 0.336785
r75k3q0.3c8/125.4.cnf, 0.417806
r75k3q0.3c8/227.2.cnf, 0.276453
r75k3q0.3c8/207.5.cnf, 0.299239
r75k3q0.3c8/56.3.cnf, 0.514314
r75k3q0.3c8/279.3.cnf, 0.278277
r75k3q0.3c8/113.5.cnf, 0.378216
r75k3q0.3c8/29.4.cnf, 0.613687
r75k3q0.3c8/66.1.cnf, 0.47536
r75k3q0.3c8/244.3.cnf, 0.329124
r75k3q0.3c8/84.5.cnf, 0.435832
r75k3q0.3c8/122.1.cnf, 0.373929
r75k3q0.3c8/171.3.cnf, 0.314741
r75k3q0.3c8/65.5.cnf, 0.47382
r75k3q0.3c8/94.3.cnf, 0.396308
r75k3q0.3c8/40.1.cnf, 0.608056
r75k3q0.3c8/179.1.cnf, 0.34854
r75k3q0.3c8/262.3.cnf, 0.287222
r75k3q0.3c8/75.3.cnf, 0.428286
r75k3q0.3c8/233.2.cnf, 0.279747
r75k3q0.3c8/198.4.cnf, 0.304697
r75k3q0.3c8/39.2.cnf, 0.553948
r75k3q0.3c8/48.4.cnf, 0.527971
r75k3q0.3c8/15.5.cnf, 0.621728
r75k3q0.3c8/238.3.cnf, 0.25154
r75k3q0.3c8/283.5.cnf, 0.233878
r75k3q0.3c8/85.1.cnf, 0.413502
r75k3q0.3c8/109.3.cnf, 0.344126
r75k3q0.3c8/141.3.cnf, 0.314605
r75k3q0.3c8/304.5.cnf, 0.221918
r75k3q0.3c8/182.1.cnf, 0.353561
r75k3q0.3c8/137.4.cnf, 0.381853
r75k3q0.3c8/226.5.cnf, 0.256252
r75k3q0.3c8/220.4.cnf, 0.278857
r75k3q0.3c8/178.2.cnf, 0.310125
r75k3q0.3c8/114.1.cnf, 0.367019
r75k3q0.3c8/308.2.cnf, 0.220313
r75k3q0.3c8/61.4.cnf, 0.49461
r75k3q0.3c8/221.4.cnf, 0.226139
r75k3q0.3c8/80.4.cnf, 0.512083
r75k3q0.3c8/101.4.cnf, 0.398381
r75k3q0.3c8/241.2.cnf, 0.273541
r75k3q0.3c8/52.2.cnf, 0.520135
r75k3q0.3c8/234.1.cnf, 0.251926
r75k3q0.3c8/106.2.cnf, 0.363059
r75k3q0.3c8/263.2.cnf, 0.292186
r75k3q0.3c8/295.4.cnf, 0.23675
r75k3q0.3c8/308.3.cnf, 0.219913
r75k3q0.3c8/347.1.cnf, 0.185927
r75k3q0.3c8/71.2.cnf, 0.456589
r75k3q0.3c8/16.1.cnf, 0.867188
r75k3q0.3c8/162.2.cnf, 0.332172
r75k3q0.3c8/25.3.cnf, 0.7216
r75k3q0.3c8/34.5.cnf, 0.650711
r75k3q0.3c8/8.1.cnf, 0.8125
r75k3q0.3c8/98.5.cnf, 0.417366
r75k3q0.3c8/79.5.cnf, 0.476366
r75k3q0.3c8/90.2.cnf, 0.413855
r75k3q0.3c8/196.1.cnf, 0.35401
r75k3q0.3c8/209.2.cnf, 0.271439
r75k3q0.3c8/145.5.cnf, 0.349705
r75k3q0.3c8/219.4.cnf, 0.332198
r75k3q0.3c8/89.3.cnf, 0.408947
r75k3q0.3c8/35.1.cnf, 0.644082
r75k3q0.3c8/151.5.cnf, 0.337837
