file, q
r75k3q0.6c8/1.1.cnf, 0
r75k3q0.6c8/2.4.cnf, 0.5
r75k3q0.6c8/7.3.cnf, 0.77551
r75k3q0.6c8/10.4.cnf, 0.84
r75k3q0.6c8/15.1.cnf, 0.793086
r75k3q0.6c8/14.5.cnf, 0.709751
r75k3q0.6c8/19.2.cnf, 0.747922
r75k3q0.6c8/19.3.cnf, 0.763312
r75k3q0.6c8/20.2.cnf, 0.778889
r75k3q0.6c8/24.3.cnf, 0.775077
r75k3q0.6c8/24.4.cnf, 0.726852
r75k3q0.6c8/29.1.cnf, 0.719671
r75k3q0.6c8/33.5.cnf, 0.729619
r75k3q0.6c8/28.5.cnf, 0.718254
r75k3q0.6c8/28.4.cnf, 0.723923
r75k3q0.6c8/34.1.cnf, 0.672818
r75k3q0.6c8/43.4.cnf, 0.71402
r75k3q0.6c8/43.3.cnf, 0.669671
r75k3q0.6c8/38.2.cnf, 0.606802
r75k3q0.6c8/51.3.cnf, 0.749925
r75k3q0.6c8/38.3.cnf, 0.700215
r75k3q0.6c8/15.2.cnf, 0.853333
r75k3q0.6c8/59.5.cnf, 0.664879
r75k3q0.6c8/47.5.cnf, 0.657215
r75k3q0.6c8/55.4.cnf, 0.66281
r75k3q0.6c8/51.2.cnf, 0.633602
r75k3q0.6c8/34.2.cnf, 0.722991
r75k3q0.6c8/69.4.cnf, 0.59817
r75k3q0.6c8/65.2.cnf, 0.623011
r75k3q0.6c8/48.1.cnf, 0.592496
r75k3q0.6c8/74.4.cnf, 0.666229
r75k3q0.6c8/60.5.cnf, 0.619383
r75k3q0.6c8/70.3.cnf, 0.611156
r75k3q0.6c8/74.5.cnf, 0.641182
r75k3q0.6c8/61.1.cnf, 0.607716
r75k3q0.6c8/84.3.cnf, 0.681185
r75k3q0.6c8/55.5.cnf, 0.602424
r75k3q0.6c8/69.3.cnf, 0.555322
r75k3q0.6c8/106.3.cnf, 0.668319
r75k3q0.6c8/80.1.cnf, 0.574583
r75k3q0.6c8/98.2.cnf, 0.631195
r75k3q0.6c8/102.2.cnf, 0.665937
r75k3q0.6c8/79.1.cnf, 0.654774
r75k3q0.6c8/79.2.cnf, 0.591198
r75k3q0.6c8/88.4.cnf, 0.59332
r75k3q0.6c8/84.2.cnf, 0.54075
r75k3q0.6c8/10.5.cnf, 0.8
r75k3q0.6c8/93.4.cnf, 0.642348
r75k3q0.6c8/117.2.cnf, 0.630222
r75k3q0.6c8/119.1.cnf, 0.641929
r75k3q0.6c8/100.3.cnf, 0.573933
r75k3q0.6c8/102.4.cnf, 0.574541
r75k3q0.6c8/94.1.cnf, 0.641037
r75k3q0.6c8/107.1.cnf, 0.665036
r75k3q0.6c8/93.5.cnf, 0.538884
r75k3q0.6c8/103.3.cnf, 0.567325
r75k3q0.6c8/108.3.cnf, 0.596193
r75k3q0.6c8/119.2.cnf, 0.633665
r75k3q0.6c8/135.5.cnf, 0.631482
r75k3q0.6c8/126.5.cnf, 0.61874
r75k3q0.6c8/127.1.cnf, 0.632139
r75k3q0.6c8/65.3.cnf, 0.584063
r75k3q0.6c8/110.4.cnf, 0.58595
r75k3q0.6c8/136.2.cnf, 0.594458
r75k3q0.6c8/112.2.cnf, 0.621802
r75k3q0.6c8/143.4.cnf, 0.599285
r75k3q0.6c8/171.1.cnf, 0.657368
r75k3q0.6c8/75.1.cnf, 0.657658
r75k3q0.6c8/181.3.cnf, 0.676577
r75k3q0.6c8/126.1.cnf, 0.60335
r75k3q0.6c8/150.1.cnf, 0.60183
r75k3q0.6c8/11.1.cnf, 0.826446
r75k3q0.6c8/159.2.cnf, 0.634223
r75k3q0.6c8/20.3.cnf, 0.811111
r75k3q0.6c8/164.1.cnf, 0.611565
r75k3q0.6c8/140.5.cnf, 0.56619
r75k3q0.6c8/138.5.cnf, 0.568875
r75k3q0.6c8/163.3.cnf, 0.616418
r75k3q0.6c8/144.1.cnf, 0.56385
r75k3q0.6c8/185.3.cnf, 0.625575
r75k3q0.6c8/200.3.cnf, 0.633744
r75k3q0.6c8/180.3.cnf, 0.603258
r75k3q0.6c8/204.4.cnf, 0.650702
r75k3q0.6c8/149.5.cnf, 0.556156
r75k3q0.6c8/201.2.cnf, 0.650971
r75k3q0.6c8/168.2.cnf, 0.557968
r75k3q0.6c8/177.2.cnf, 0.589451
r75k3q0.6c8/56.1.cnf, 0.668934
r75k3q0.6c8/173.4.cnf, 0.603734
r75k3q0.6c8/184.2.cnf, 0.57965
